agency_id,agency_business_entity_name,client_name
96,Hawker Britton Group Pty Ltd,STW Group Ltd
96,Hawker Britton Group Pty Ltd,Canada Steamship Lines Australia Pty Ltd
96,Hawker Britton Group Pty Ltd,Mediacom
96,Hawker Britton Group Pty Ltd,The Big Issue in Australia Limited
96,Hawker Britton Group Pty Ltd,Bunnings
96,Hawker Britton Group Pty Ltd,Officeworks
96,Hawker Britton Group Pty Ltd,Crown Castle
96,Hawker Britton Group Pty Ltd,HOED
96,Hawker Britton Group Pty Ltd,J Walter Thompson (JWT)
96,Hawker Britton Group Pty Ltd,Quasar Resources Pty Ltd
96,Hawker Britton Group Pty Ltd,Adelaide Airport Limited
96,Hawker Britton Group Pty Ltd,Macquarie Group Limited
96,Hawker Britton Group Pty Ltd,ZOO Group
96,Hawker Britton Group Pty Ltd,amr interactive
96,Hawker Britton Group Pty Ltd,The Brand Agency
96,Hawker Britton Group Pty Ltd,AMP Limited
96,Hawker Britton Group Pty Ltd,Canada Pension Plan Investment Board
96,Hawker Britton Group Pty Ltd,Australian Hotels Association (Victorian Branch)
96,Hawker Britton Group Pty Ltd,Silcar Pty Ltd
96,Hawker Britton Group Pty Ltd,Medibank Health Solutions
96,Hawker Britton Group Pty Ltd,Leighton Holdings
96,Hawker Britton Group Pty Ltd,Lorne Sculpture
96,Hawker Britton Group Pty Ltd,The Adams Group
96,Hawker Britton Group Pty Ltd,Domain Principal Group
96,Hawker Britton Group Pty Ltd,The Alliance for Safe Children
96,Hawker Britton Group Pty Ltd,Allygroup
96,Hawker Britton Group Pty Ltd,Project Respect
96,Hawker Britton Group Pty Ltd,Aurizon
96,Hawker Britton Group Pty Ltd,Yellow Edge
96,Hawker Britton Group Pty Ltd,Shire of Cardinia 
96,Hawker Britton Group Pty Ltd,Australian Salary Packaging Industry Association
96,Hawker Britton Group Pty Ltd,Nextgen Group Holdings Pty Ltd
96,Hawker Britton Group Pty Ltd,Apple Pty Ltd
96,Hawker Britton Group Pty Ltd,Law Institute of Victoria
137,Health Communincations Australia Pty Limited,Allergan Australia Pty Limited
137,Health Communincations Australia Pty Limited,Genzyme
137,Health Communincations Australia Pty Limited,The GUT Foundation
137,Health Communincations Australia Pty Limited,Link Pharmaceuticals
137,Health Communincations Australia Pty Limited,Lundbeck Australia Pty Limited
137,Health Communincations Australia Pty Limited,Novo Nordisk Australia Pty Limited
